Bird identity,"Sex 1=male, 0=female",Ageclass,BodyMass g,RightTarsus length,MalariaConsensus 1=yes,year sampled,year,wet/dry season
3510,0,OFL,14.0,23.9,1,2005-08-03T00:00:00Z,2005,SE monsoon
3513,0,OFL,14.1,24.7,1,2005-08-04T00:00:00Z,2005,SE monsoon
1504,1,A,17.0,27.5,0,2005-08-07T00:00:00Z,2005,SE monsoon
1523,1,A,17.5,26.6,0,2005-08-08T00:00:00Z,2005,SE monsoon
3488,0,OFL,16.0,24.7,1,2005-08-08T00:00:00Z,2005,SE monsoon
3457,1,OFL,16.0,25.4,1,2005-08-15T00:00:00Z,2005,SE monsoon
3517,0,CH,13.8,21.2,0,2005-08-15T00:00:00Z,2005,SE monsoon
3518,0,CH,15.0,24.0,0,2005-08-15T00:00:00Z,2005,SE monsoon
3520,0,OFL,15.0,24.5,1,2005-08-15T00:00:00Z,2005,SE monsoon
3516,0,OFL,16.0,24.5,1,2005-08-16T00:00:00Z,2005,SE monsoon
3519,1,CH,17.1,26.2,0,2005-08-17T00:00:00Z,2005,SE monsoon
3521,1,CH,16.4,24.8,0,2005-08-17T00:00:00Z,2005,SE monsoon
3564,1,OFL,17.0,25.2,1,2005-08-19T00:00:00Z,2005,SE monsoon
1501,0,A,16.0,24.5,0,2005-08-20T00:00:00Z,2005,SE monsoon
3569,0,CH,16.5,23.4,0,2005-08-20T00:00:00Z,2005,SE monsoon
3572,1,CH,17.0,25.4,0,2005-08-20T00:00:00Z,2005,SE monsoon
3575,1,CH,16.0,24.9,0,2005-08-20T00:00:00Z,2005,SE monsoon
1412,1,S,16.5,25.8,0,2005-08-23T00:00:00Z,2005,SE monsoon
3574,0,CH,14.5,22.8,0,2005-08-23T00:00:00Z,2005,SE monsoon
1384,0,S,16.0,23.5,1,2005-08-24T00:00:00Z,2005,SE monsoon
1499,1,A,15.7,25.2,0,2005-08-24T00:00:00Z,2005,SE monsoon
3565,1,CH,16.1,24.3,0,2005-08-25T00:00:00Z,2005,SE monsoon
3566,0,CH,15.0,22.4,0,2005-08-25T00:00:00Z,2005,SE monsoon
3568,0,CH,14.5,22.6,0,2005-08-25T00:00:00Z,2005,SE monsoon
3570,1,CH,17.5,24.9,0,2005-08-25T00:00:00Z,2005,SE monsoon
3571,0,CH,12.0,22.0,0,2005-08-25T00:00:00Z,2005,SE monsoon
3573,1,CH,13.6,23.7,0,2005-08-25T00:00:00Z,2005,SE monsoon
3576,1,CH,15.2,24.5,0,2005-08-25T00:00:00Z,2005,SE monsoon
3578,1,CH,16.5,23.5,0,2005-08-26T00:00:00Z,2005,SE monsoon
3580,0,CH,14.9,22.9,0,2005-08-26T00:00:00Z,2005,SE monsoon
3581,0,CH,16.1,23.4,0,2005-08-27T00:00:00Z,2005,SE monsoon
1532,0,A,14.1,24.2,0,2005-08-28T00:00:00Z,2005,SE monsoon
3590,0,CH,13.4,22.3,0,2005-08-29T00:00:00Z,2005,SE monsoon
1419,0,A,14.4,23.8,0,2005-08-30T00:00:00Z,2005,SE monsoon
